country,TikTokUsers_Users_2024,TikTokUsersCountryTotal2023,range
United States,148000000,113300000.0,100M-150M users
Indonesia,126800000,109900000.0,100M-150M users
Pakistan,59630000,16510000.0,10M-100M users
Nigeria,27390000,,10M-100M users
Brazil,101800000,82210000.0,100M-150M users
Bangladesh,37360000,,10M-100M users
Russia,58220000,54860000.0,10M-100M users
Mexico,77930000,57520000.0,10M-100M users
Japan,25670000,20700000.0,10M-100M users
Egypt,32940000,23730000.0,10M-100M users
Philippines,48030000,43430000.0,10M-100M users
DR Congo,4440000,,1M-10M users
Vietnam,69670000,49860000.0,10M-100M users
Turkey,37730000,29860000.0,10M-100M users
Germany,22860000,20650000.0,10M-100M users
Thailand,44380000,40280000.0,10M-100M users
United Kingdom,22710000,19660000.0,10M-100M users
France,24590000,20950000.0,10M-100M users
South Africa,17460000,11830000.0,10M-100M users
Italy,20920000,17150000.0,10M-100M users
Kenya,10600000,,10M-100M users
Myanmar,16650000,,10M-100M users
Colombia,28420000,20110000.0,10M-100M users
South Korea,6950000,5660000.0,1M-10M users
Sudan,2910000,,1M-10M users
Spain,16740000,16630000.0,10M-100M users
Algeria,17420000,,10M-100M users
Iraq,33400000,23880000.0,10M-100M users
Argentina,21270000,16220000.0,10M-100M users
Yemen,2530000,,1M-10M users
Canada,12050000,10750000.0,10M-100M users
Poland,11520000,10140000.0,10M-100M users
Morocco,12410000,9270000.0,10M-100M users
Angola,3010000,,1M-10M users
Ukraine,16470000,13010000.0,10M-100M users
Malaysia,28680000,19300000.0,10M-100M users
Mozambique,1460000,,1M-10M users
Peru,21910000,16870000.0,10M-100M users
Saudi Arabia,35100000,26390000.0,10M-100M users
Venezuela,12350000,,10M-100M users
Australia,9730000,8300000.0,1M-10M users
Taiwan,5650000,5330000.0,1M-10M users
Sri Lanka,4440000,,1M-10M users
Kazakhstan,14100000,10410000.0,10M-100M users
Chad,973000,,100K-1M users
Chile,13750000,11250000.0,10M-100M users
Romania,8970000,7580000.0,1M-10M users
Somalia,2920000,,1M-10M users
Guatemala,9110000,,1M-10M users
Netherlands,6010000,5660000.0,1M-10M users
Ecuador,12660000,9650000.0,10M-100M users
Cambodia,9960000,7060000.0,1M-10M users
Guinea,861500,,100K-1M users
Bolivia,7390000,,1M-10M users
Tunisia,5320000,,1M-10M users
South Sudan,324000,,100K-1M users
Haiti,1470000,,1M-10M users
Belgium,4040000,3520000.0,1M-10M users
Jordan,2670000,4430000.0,1M-10M users
Dominican Republic,6640000,,1M-10M users
United Arab Emirates,10730000,8230000.0,10M-100M users
Cuba,500,,<1K users
Honduras,4550000,,1M-10M users
Czech Republic,2090000,1950000.0,1M-10M users
Sweden,3570000,3390000.0,1M-10M users
Portugal,3670000,3240000.0,1M-10M users
Azerbaijan,6100000,,1M-10M users
Greece,3840000,3010000.0,1M-10M users
Hungary,3240000,2640000.0,1M-10M users
